Observation,Year,Sequence,Terminal Fate
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
