Observation,Year,Sequence,Terminal Fate
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,MEDIUM
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,FLORAL
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y1,0000,SMALL
SMALL,Y1,0000,LARGE
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,SMALL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,LARGE
SMALL,Y2,0000,MEDIUM
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,FLORAL
SMALL,Y2,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,LARGE
SMALL,Y3,0000,LARGE
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,MEDIUM
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,MEDIUM
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,SMALL
SMALL,Y3,0000,FLORAL
SMALL,Y3,0000,LARGE
